
2025/03/26 (12:52:18) | ===> btop++ v.1.4.0
2025/03/26 (12:52:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/26 (12:52:31) | ===> btop++ v.1.4.0
2025/03/26 (12:52:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/26 (13:17:20) | ===> btop++ v.1.4.0
2025/03/26 (13:17:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/26 (13:55:35) | ===> btop++ v.1.4.0
2025/03/26 (13:55:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/26 (14:23:56) | ===> btop++ v.1.4.0
2025/03/26 (14:23:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/26 (14:49:13) | ===> btop++ v.1.4.0
2025/03/26 (14:49:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/26 (14:50:09) | ===> btop++ v.1.4.0
2025/03/26 (14:50:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/26 (14:50:21) | ===> btop++ v.1.4.0
2025/03/26 (14:50:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/26 (15:32:50) | ===> btop++ v.1.4.0
2025/03/26 (15:32:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/26 (15:33:08) | ===> btop++ v.1.4.0
2025/03/26 (15:33:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/26 (16:05:09) | ===> btop++ v.1.4.0
2025/03/26 (16:05:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/26 (16:11:47) | ===> btop++ v.1.4.0
2025/03/26 (16:11:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/27 (08:02:25) | ===> btop++ v.1.4.0
2025/03/27 (08:02:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/27 (16:05:24) | ===> btop++ v.1.4.0
2025/03/27 (16:05:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/28 (07:33:08) | ===> btop++ v.1.4.0
2025/03/28 (07:33:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/28 (09:29:00) | ===> btop++ v.1.4.0
2025/03/28 (09:29:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/28 (12:11:16) | ===> btop++ v.1.4.0
2025/03/28 (12:11:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/28 (12:14:07) | ===> btop++ v.1.4.0
2025/03/28 (12:14:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/28 (12:23:47) | ===> btop++ v.1.4.0
2025/03/28 (12:23:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/29 (12:44:18) | ===> btop++ v.1.4.0
2025/03/29 (12:44:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/29 (23:20:27) | ===> btop++ v.1.4.0
2025/03/29 (23:20:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/29 (23:20:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (16:54:14) | ===> btop++ v.1.4.0
2025/03/30 (16:54:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/30 (16:54:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (19:53:18) | ===> btop++ v.1.4.0
2025/03/30 (19:53:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/30 (19:53:18) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/30 (23:18:57) | ERROR: Stall in Runner thread, restarting!

2025/03/30 (23:39:10) | ===> btop++ v.1.4.0
2025/03/30 (23:39:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/30 (23:39:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (07:13:39) | ===> btop++ v.1.4.0
2025/03/31 (07:13:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/31 (07:14:43) | ===> btop++ v.1.4.0
2025/03/31 (07:14:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/31 (07:30:56) | ===> btop++ v.1.4.0
2025/03/31 (07:30:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/31 (07:41:56) | ===> btop++ v.1.4.0
2025/03/31 (07:41:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/31 (07:44:35) | ===> btop++ v.1.4.0
2025/03/31 (07:44:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/31 (07:44:49) | ===> btop++ v.1.4.0
2025/03/31 (07:44:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/31 (08:51:44) | ===> btop++ v.1.4.0
2025/03/31 (08:51:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/31 (09:27:07) | ===> btop++ v.1.4.0
2025/03/31 (09:27:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/31 (11:08:27) | ===> btop++ v.1.4.0
2025/03/31 (11:08:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/31 (11:08:47) | ===> btop++ v.1.4.0
2025/03/31 (11:08:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
